net,length_um
_0188_,98.605
_0367_,97.76
net34,96.94
_0124_,96.86
_0174_,96.66
_0226_,96.32
_0426_,96.26
_0069_,94.46
_0321_,94.1
_0281_,94.02
_0482_,91.88
_0383_,91.74
_0017_,91.64
_0242_,90.88
_0615_,90.24
_0007_,89.74
_0463_,89.72
_0144_,89.64
_0182_,89.16
_0149_,88.22
_0384_,87.45
_0148_,85.57
_0194_,84.68
_0245_,84.34
_0447_,84.2
_0351_,82.68
_0381_,81.5
_0650_,79.32
_0205_,78.71
_0550_,77.48
_0361_,76.6
_0316_,75.52
_0594_,74.08
_0025_,71.49
_0137_,67.3
_0123_,65.86
_0547_,65.32
_0320_,64.76
_0028_,64.28
_0493_,60.82
_0601_,59.54
_0498_,58.9
_0489_,57.02
_0324_,56.66
_0641_,55.3
net35,53.56
_0221_,53.2
_0126_,52.64
_0548_,51.98
_0024_,51.59
_0437_,51.46
_0143_,46.44
_0497_,45.58
_0451_,44.94
_0022_,44.84
net20,44.4
_0218_,41.26
_0286_,41.04
_0651_,40.24
_0237_,38.3
_0142_,34.48
_0387_,34.36
_0502_,30.4
_0040_,30.365
_0268_,26.64
_0106_,25.88
net48,23.66
_0644_,18.03
_0161_,17.02
_0253_,16.32
_0121_,12.74
Y[14],10.35
_0100_,9.98
_0246_,9.28
Y[9],8.99
B[5],6.77
_0065_,6.6
A[7],6.43
Y[2],6.43
Y[6],6.43
A[1],6.31
A[5],6.31
B[1],6.31
op[0],6.31
A[3],5.97
B[3],5.97
B[7],5.97
Y[0],5.75
Y[10],5.75
Y[12],5.75
Y[4],5.75
Y[8],5.75
B[2],5.41
A[2],4.95
A[6],4.95
B[6],4.95
op[1],4.95
A[4],4.73
A[0],4.61
B[0],4.61
B[4],4.61
Y[7],4.61
Y[11],4.39
Y[13],4.39
Y[15],4.39
Y[1],4.39
Y[3],4.39
Y[5],4.39
op[2],3.93
